"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
403,13409.41775,19807.32005,48.70235,140.11242,15.31054
404,13396.61381,12766.72157,275.78013,4040.76001,18.58942
405,13544.96505,14901.49764,210.75995,4075.54643,11.03255
406,13461.76174,16148.68673,70.51523,182.46933,20.37714
407,13488.50103,18641.69362,67.57288,373.73019,9.90534
408,13442.13246,20713.20384,104.75186,538.87914,18.35193
409,13492.16993,23223.51334,97.78908,648.14218,9.02917
410,13466.19086,25268.39035,194.7243,2108.08736,18.71654
411,13532.95561,14748.20143,139.82442,1527.2077,14.73319
412,13558.41138,17631.28526,48.26851,148.85643,9.85178
413,13492.99206,24800.08078,212.73523,2920.44332,17.5877
414,13578.09148,26443.15172,182.12129,1874.14337,19.3385
415,13634.60909,6343.04037,127.34986,1261.56786,19.57707
416,13591.4783,12001.62617,176.09448,1567.49312,14.45011
417,13503.18971,12779.78192,174.35631,1741.57172,16.81851
418,13633.48363,15504.07506,60.00169,272.21478,16.21693
419,13632.13087,21839.2439,80.55528,516.39446,13.0857
420,13585.48717,24974.50437,202.67876,2967.46373,13.70257
421,13730.35833,5160.33653,136.7713,665.2319,31.76066
422,13605.2271,10385.5662,163.3631,797.998,28.06519
423,13616.23551,10963.73736,108.32331,567.24434,18.25028
424,13668.17925,26361.29077,62.69591,367.35955,13.08777
425,13809.57501,4987.61577,101.10155,376.94607,25.13981
426,13915.66993,10044.53676,116.82245,357.65755,17.70762
427,13802.93754,13536.27228,128.3303,411.89061,23.75369
428,13800.67895,13976.82341,93.09343,890.49495,8.64923
429,13894.5236,18120.08807,130.70693,528.02148,20.08766
430,13829.04374,20470.41831,86.33834,276.23255,20.53689
431,13726.5335,21234.23208,112.38605,271.5959,30.74169
432,13862.79596,4695.22084,149.84693,1101.50952,14.50547
433,13877.38731,6679.07945,129.39592,842.11306,19.11636
434,13709.96683,11492.48513,132.64812,201.4049,58.84808
435,13950.13789,17142.91693,162.60331,1527.8629,13.55308
436,13910.73625,19350.53501,93.37266,774.58864,11.47746
437,13750.57887,26523.02106,189.81137,1410.64357,33.88103
438,13789.40762,14977.04892,278.34789,5352.11408,16.05805
439,13924.76134,15138.69967,164.38639,1486.18653,19.43958
440,14064.48014,23005.65342,130.83522,1140.16768,18.789
441,14050.07039,12123.23932,133.83412,757.60385,19.59251
442,14008.13293,16345.80456,90.37509,668.32173,10.4797
443,14023.38246,17456.81021,136.81174,848.64733,17.7128
444,14086.23449,8397.42137,191.43691,1865.34127,20.12514
445,14103.40412,9014.54892,153.27344,5571.94549,5.72741
446,14099.85249,10071.18783,146.45317,839.76204,27.87019
447,14170.49713,11928.18792,145.79293,923.88297,15.46207
448,14088.10885,18340.31238,138.35233,708.97264,16.45631
449,14128.85321,19578.13106,62.45017,294.04826,18.68812
450,14288.35871,22295.86232,116.09602,504.88003,23.98876
451,14183.56189,25418.31233,157.32413,1220.95289,16.77895
452,14144.68449,28623.72164,66.4467,349.73265,11.28559
453,14333.18084,5187.41786,119.80242,373.23168,22.44956
454,14156.82596,6097.39975,153.51797,686.48242,28.42597
455,14260.76657,13378.15591,119.55879,751.54787,17.02371
456,14105.67391,14644.04963,106.91968,454.7289,32.04611
457,14315.47996,24189.31578,167.78579,1575.2419,19.17739
458,14170.47933,27999.01682,153.59369,1952.50555,13.95357
459,14348.8465,11179.21062,109.14553,653.26186,13.28602
460,14301.78712,13452.21806,155.96865,880.35478,17.1717
461,14283.15462,23264.90716,107.90773,672.66637,19.91611
462,14345.82616,23835.98028,120.97443,724.46401,16.21618
463,14289.1928,24641.6633,113.1478,1230.98687,12.20293
464,14339.41481,10545.82398,94.59305,1016.95993,7.25336
465,14331.65699,12562.72992,112.92369,419.23479,25.10787
466,14376.94643,21514.11436,67.43711,291.33589,10.03897
467,14340.17798,23676.79726,134.19678,1495.72427,12.31099
468,14198.87301,27759.99974,269.42755,3533.85685,19.74486
