"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
605,30407.24875,23279.43219,385.05338,23900.81166,7.64217
606,30495.25023,18675.8646,455.42571,30340.48508,8.17334
607,30457.90111,23761.76836,118.55338,654.75394,22.52656
608,30456.87048,26256.73889,143.83396,1034.81328,13.25505
609,30452.29097,28978.79336,219.36842,3292.44451,11.8852
610,30416.65595,13559.8095,102.60596,1140.15955,18.21714
611,30496.07891,22698.97691,290.09162,10947.4976,5.2151
612,30444.11153,14024.46342,100.22805,1312.36672,17.04592
613,30613.0586,16236.93115,446.19333,27951.55551,6.06984
614,30815.42529,17855.30443,272.67784,8261.87483,7.43761
615,30749.79544,21884.58862,336.89837,9191.645,7.38777
616,30906.56997,27946.80433,575.02454,56687.18,7.07037
617,30703.15772,28173.40371,258.17591,7556.78044,7.74564
618,30723.01726,30680.35932,183.28248,1557.18021,20.06798
619,30765.64571,15646.11486,113.95911,1930.6457,19.78523
620,30735.00849,19886.61383,120.24733,588.3014,25.27885
621,30776.73304,21333.48344,203.96467,1864.72512,19.42801
622,30604.35459,28979.4916,479.71469,28504.81108,5.79213
623,30752.88726,31046.33152,117.06332,1773.69161,15.51737
624,31036.61272,17605.48963,378.86703,22820.77107,7.37908
625,30931.18163,19549.96184,100.79595,549.61756,16.68435
626,31026.4423,29843.2162,121.18062,549.45884,25.76107
627,30793.97546,30698.06472,160.41167,4064.09398,15.45752
628,31106.64208,20658.56157,150.92885,1345.44026,19.96603
629,31026.74075,21319.69156,81.70514,408.62782,15.76754
630,31014.58628,25560.30634,128.79588,728.37911,17.57111
631,30914.36214,27605.84314,350.92725,24342.348,5.99145
632,30995.44405,17761.62893,360.89909,19559.98147,4.87903
633,31039.13765,23845.26592,131.84699,861.88188,16.61907
634,31117.44968,24923.26642,58.12052,197.07751,13.94931
635,31193.67541,26540.67964,199.88529,1505.90093,18.69656
636,31216.53636,18749.2127,201.03986,3322.19084,8.78313
637,31204.54208,24527.71198,103.54463,458.26402,19.01119
638,31240.59282,26455.34866,190.57798,1144.43086,22.8572
639,31208.77641,30549.85282,128.68645,2357.02035,18.59882
640,31351.8707,16251.51449,142.25672,882.33828,15.55936
641,31298.62587,21648.29569,101.78037,409.63055,16.43209
642,31233.04366,23458.06296,440.77159,24548.03732,7.92409
643,31354.09412,28583.4518,160.82824,2585.36693,6.73197
