id,x [nm],y [nm],sigma [nm],intensity [photon],uncertainty_xy [nm],x_px,y_px,sigma_px,mean_intensity,Outlier
856,19344.23632,19317.0288,100.13893,7005.21738,9.67759,336,329,2,0.0514161220043573,False
859,19294.3949,11285.04327,117.19184,4158.18765,12.32368,336,192,2,0.05098039215686275,False
864,19631.35186,11831.64215,236.35169,13789.41237,15.5389,341,202,4,0.05002178649237473,False
865,19543.83243,18940.82665,81.02323,2988.48009,11.21745,340,323,1,0.01568627450980392,False
866,19528.56369,20918.46541,103.34111,7236.21686,10.50151,340,356,2,0.03137254901960784,False
868,19590.30504,20134.52653,205.08358,15173.81373,10.75698,341,343,4,0.08026143790849673,False
870,19580.7482,8845.54206,84.06306,3339.45215,10.8105,341,151,1,0.06666666666666667,False
871,19532.14131,11711.54076,103.72471,3105.19216,16.58487,340,200,2,0.06492374727668844,False
872,19601.39807,12150.93003,80.66562,2664.188,9.24755,341,207,1,0.00392156862745098,False
874,19634.29283,8385.94553,82.28754,3073.31731,12.64146,341,143,1,0.16470588235294117,False
876,19661.02575,16877.06866,99.86406,5205.04885,9.3035,342,288,2,0.03529411764705882,False
877,19601.6033,19564.30584,80.60179,2903.46054,12.13481,341,333,1,0.0,False
878,19793.95864,12579.06947,92.51386,4154.53332,8.46303,344,214,2,0.07538126361655773,False
879,19750.28256,13560.74107,123.07695,8250.33695,8.06342,343,231,2,0.16514161220043574,False
880,19776.47773,16061.11085,91.6461,4264.40937,11.1016,344,274,2,0.09978213507625272,False
883,19889.36991,10241.56452,102.60683,5402.31521,9.51805,346,174,2,0.054030501089324626,False
885,19799.31971,20232.24284,140.75685,10678.40497,5.9754,344,345,2,0.09673202614379083,False
886,19892.54587,21877.68654,79.04587,3322.85232,8.69907,346,373,1,0.06274509803921569,False
887,19916.31668,10430.18791,82.65732,2685.30027,11.70115,346,178,1,0.14901960784313725,False
889,19800.57593,16317.51003,77.2461,1378.58431,18.36738,344,278,1,0.0392156862745098,False
890,19964.31414,17658.5546,117.41628,6414.84326,8.22977,347,301,2,0.1638344226579521,False
892,20038.46414,8247.42853,111.05241,7365.25222,10.49873,348,141,2,0.17821350762527233,False
893,19929.87191,13564.13157,128.75542,8407.78834,9.9672,347,231,2,0.06187363834422657,False
894,19911.83262,14801.94526,86.62094,4355.70407,9.67133,346,252,1,0.0,False
895,20043.19557,19190.80943,80.69129,1727.46572,15.68208,349,327,1,0.0392156862745098,False
896,20019.70347,9129.46888,83.18856,2791.63559,9.37076,348,156,1,0.011764705882352941,False
897,20102.35525,17934.66164,86.06819,3134.5116,10.78028,350,306,1,0.10196078431372549,False
898,20079.81655,18536.0681,77.71857,2980.7402,11.29779,349,316,1,0.23921568627450981,True
899,20100.70249,21437.93098,104.21028,7273.79951,7.93195,350,365,2,0.08366013071895424,False
900,20129.1079,15608.16592,131.46054,9481.17296,10.37754,350,266,2,0.03485838779956427,False
901,20165.01919,13761.40125,113.18125,3626.7086,18.12479,351,234,2,0.1132897603485839,False
902,20189.93534,17654.88079,86.64566,2477.54172,15.20248,351,301,1,0.14509803921568626,False
904,20131.10964,8139.03961,132.19057,8660.56331,8.96852,350,139,2,0.09586056644880175,False
908,20308.46383,19454.74641,77.93818,2616.24739,10.6306,353,331,1,0.023529411764705882,False
910,20383.27149,9253.89736,96.03009,2972.79685,11.32163,354,158,2,0.10326797385620916,False
912,20309.01387,11828.09639,91.4072,14100.87039,3.49892,353,202,2,0.10718954248366014,False
913,20301.66224,12197.16834,115.93515,6334.89908,9.06847,353,208,2,0.05533769063180828,False
914,20246.96885,15702.25976,114.69879,7720.94075,10.94663,352,268,2,0.07058823529411765,False
915,20231.13957,21430.20197,119.38462,9114.37574,9.05429,352,365,2,0.052723311546840956,False
916,20297.94232,8636.70945,75.54159,4020.5947,8.84257,353,147,1,0.03529411764705882,False
917,20361.65764,12870.45059,89.56038,5497.22043,8.39912,354,219,2,0.024400871459694988,False
918,20506.94176,14428.32285,102.8468,4368.56894,12.78274,357,246,2,0.03747276688453159,False
919,20322.30979,17521.80763,106.96286,6104.57101,12.37893,353,298,2,0.023093681917211326,False
920,20311.66293,18355.95714,139.92528,10887.97848,10.26702,353,313,2,0.03616557734204793,False
921,20389.39447,20838.5673,94.80094,4374.28868,10.88651,355,355,2,0.008714596949891067,False
923,20451.86513,14277.98437,77.68483,2184.29696,11.62952,356,243,1,0.043137254901960784,False
924,20434.1409,20140.24002,125.3215,8551.63603,7.09453,355,343,2,0.06492374727668845,False
926,20478.25886,7984.4033,75.14265,2064.16823,8.99678,356,136,1,0.0,False
929,20546.72432,9302.98314,132.1056,5520.52446,11.54568,357,158,2,0.0832244008714597,False
930,20649.07251,10566.1914,96.13618,2067.07831,19.0763,359,180,2,0.023529411764705885,False
