"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
222,9587.07392,5933.6249,135.0626,11523.41531,7.80508
223,9624.37267,6947.84373,71.34493,2407.82755,8.74796
224,9611.16161,11689.10414,74.81741,2124.16792,13.39153
225,9724.58918,8773.04168,82.35642,3537.02203,9.99128
226,9721.86289,8792.08973,82.04406,3206.59563,9.92139
227,9672.91498,15168.27197,58.62263,1779.4013,13.49533
228,9859.30114,5021.03778,108.20129,4256.56898,12.20024
229,9695.50565,7913.8074,105.58683,4883.13085,9.50632
230,9794.18384,10050.81833,88.00187,2906.85657,14.63531
231,9774.21527,10358.25698,120.3598,5142.67419,12.19076
232,9850.23148,14878.77367,207.33552,22535.8748,6.84129
233,9727.2809,15435.40017,54.65023,1123.2054,10.84492
234,9846.27578,10618.08574,197.50878,10835.34957,14.65567
235,9818.79251,13066.41137,125.9061,4502.50039,12.54288
236,9844.84853,6595.21579,91.74327,2675.49682,15.76935
237,9942.40835,9526.08598,78.84434,1898.7731,13.64531
238,9822.82797,10772.50377,100.52815,4138.62868,11.64798
239,9777.31092,14830.94183,154.22717,12708.46513,8.8493
240,9893.49529,4475.57623,66.13883,1201.93446,14.2201
241,9960.86753,5027.21437,170.25836,9062.83493,12.32206
242,9943.78171,7500.97115,109.29924,5849.70727,8.97628
243,9785.65396,10568.23749,105.61485,4044.86482,14.89694
244,9939.53733,14391.23043,85.88555,3019.78086,8.61099
245,9884.27311,7860.96966,91.6065,2810.56177,13.74868
246,9899.13342,10138.40945,111.23371,2587.92853,19.68072
247,10046.85804,12179.98972,81.3967,2024.62139,12.81205
248,9932.25711,15513.38028,51.51161,811.97201,12.57847
249,9986.67184,6058.00559,39.20716,722.81012,7.134
250,10035.50638,9197.18167,61.84741,2021.23914,8.26665
251,10019.93616,12745.28393,105.99346,5060.93908,8.91586
252,10013.69659,3057.72918,69.74222,2465.62485,9.56668
253,10052.10804,3378.6487,109.11502,7153.45589,8.77224
254,10080.60021,8714.48288,73.66083,3138.19394,8.44363
255,10001.81411,9464.54256,172.30554,6369.35915,19.41712
256,10172.80154,11303.97717,99.4939,4539.47917,11.10386
257,10160.43093,11786.52062,164.20806,6489.08423,19.31793
258,10135.849,11880.38332,127.70516,4924.25087,15.02108
259,10106.10014,13264.33536,58.53585,808.77609,15.67146
260,10061.62781,14014.40883,83.75977,2757.46947,10.54884
261,10035.71703,7736.11767,86.07338,2386.06481,17.04333
262,10067.57845,12950.91137,118.17406,5919.83956,11.43512
263,10117.98586,13373.44477,101.24063,4054.49265,10.66383
264,10053.90343,11508.66395,122.59507,4951.64075,16.23933
265,10151.88693,14978.60717,96.57203,6771.40291,8.41791
266,10360.24764,8032.8417,77.83667,1731.34855,13.31895
267,10346.35938,5222.80501,91.34328,2092.83986,16.46579
268,10366.49965,5373.29225,86.58354,2739.76787,10.74636
269,10273.74686,6518.81802,98.99016,8871.31149,9.50425
270,10311.50672,6963.65214,46.84227,724.43383,11.3735
271,10261.34539,10267.16337,77.44951,1156.67261,16.55294
272,10469.08797,15410.6747,94.39465,2889.47009,12.9731
273,10338.26892,3457.40798,85.28382,3424.99812,12.03086
274,10369.0055,9600.69465,82.17091,2350.94986,14.51359
275,10354.16304,12400.25451,48.97097,926.30437,14.19378
276,10383.51638,16533.90627,61.58753,1667.24875,11.00531
277,10354.42272,7714.7588,65.97663,1100.09364,13.73741
278,10458.60362,8987.209,97.08289,10607.51609,5.06328
279,10394.26913,13185.76023,109.63641,5051.48059,13.33701
280,10445.47957,2913.37385,44.8919,654.82902,11.96566
281,10512.50169,5958.17918,33.38739,488.15835,8.36902
282,10453.29108,8425.34952,44.05637,779.35193,8.93571
283,10446.19331,9481.67985,69.502,2374.32568,10.7488
284,10454.83115,3692.80671,89.37783,3198.59466,14.59032
285,10558.16726,11867.28279,134.02025,11069.82036,8.39623
286,10512.97897,14419.07994,109.09135,6474.91069,11.97376
287,10585.07814,15419.88231,187.57905,8396.85975,17.44792
288,10598.87279,16018.52786,94.89398,5280.20062,7.7027
289,10607.82199,11031.75657,109.77321,4331.05136,9.09721
290,10554.84203,12111.81921,112.8687,6373.87067,9.40485
291,10732.1704,3829.24623,65.3804,2274.12534,12.34536
292,10628.12418,4366.18177,75.79528,677.57025,21.70907
293,10642.87415,6813.10327,119.85556,3919.7175,14.95954
294,10631.31552,13767.81929,94.50773,3939.20253,10.48628
295,10670.61,16693.48445,97.8942,2566.73634,21.15727
296,10656.26014,3113.64763,56.48003,1161.74791,9.12839
297,10803.18392,5782.87916,69.20125,1287.52268,13.23012
298,10693.23811,10225.24563,68.75352,4137.92027,6.84958
299,10727.20974,10500.58259,57.82139,1111.78292,14.03565
300,10720.72567,12791.63358,52.42464,1319.32356,9.82041
301,10793.20396,4901.22741,85.39234,4581.1362,8.05798
302,10740.64618,14763.60194,48.94103,913.06497,10.44855
303,10811.76829,15517.89015,95.12066,2504.05421,14.29938
304,10742.42087,16573.94668,76.49465,4557.23135,14.0213
305,10785.63633,16888.90401,90.56074,2953.71526,12.54914
306,10733.86535,10054.30718,71.269,2081.8982,11.72079
307,10820.2125,17143.98937,63.41218,1007.79388,16.53388
308,10915.7102,6324.23519,86.82125,4412.06588,9.34275
309,10907.03696,6534.67418,167.14877,14068.34464,9.13808
310,10920.46815,16417.26817,73.18261,5155.38589,10.59185
311,11040.4279,8176.23445,72.2379,1605.75148,13.87341
312,10946.87646,8960.91574,109.19865,6202.03057,10.95106
313,10943.41125,12618.12591,53.62086,761.92406,15.33099
314,11016.82817,3888.16113,101.01269,4936.18367,9.83365
315,10977.36948,6634.71005,115.33211,4810.48339,11.14488
316,11019.83514,7289.78771,52.91365,1596.45972,7.54058
317,11116.71808,13790.20485,264.37996,19283.50223,12.81321
318,10992.02523,15732.48979,51.15603,1383.64613,11.0347
319,10974.28836,5486.68025,76.55264,1783.21864,11.35948
320,11065.91627,5677.78051,78.69958,3732.43124,8.33838
321,11051.73844,8037.28027,63.05732,1127.39799,12.83988
322,11027.86693,9168.24056,106.1333,3784.88142,12.41769
323,11130.17332,11281.90538,81.24658,1610.83119,13.05437
